,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
63,0.04,0.00,0.08,0.00,0.001,0.4,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.4}",0.52,0.55,0.51,0.53,0.50,0.52,0.02,41,0.53,0.57,0.54,0.57,0.53,0.55,0.02
64,0.05,0.01,0.10,0.00,0.001,0.5,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.5}",0.55,0.57,0.52,0.52,0.54,0.54,0.02,23,0.54,0.56,0.54,0.57,0.55,0.55,0.01
65,0.05,0.00,0.12,0.01,0.001,0.6,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.6}",0.55,0.56,0.51,0.52,0.54,0.54,0.02,29,0.54,0.56,0.53,0.57,0.54,0.55,0.01
66,0.05,0.00,0.13,0.00,0.001,0.7,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.7}",0.53,0.56,0.50,0.52,0.54,0.53,0.02,34,0.53,0.54,0.54,0.56,0.53,0.54,0.01
67,0.05,0.00,0.16,0.00,0.001,0.8,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.8}",0.54,0.55,0.49,0.51,0.54,0.52,0.02,40,0.53,0.55,0.53,0.56,0.53,0.54,0.01
68,0.06,0.01,0.18,0.01,0.001,0.9,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.9}",0.55,0.55,0.49,0.51,0.55,0.53,0.02,35,0.54,0.54,0.54,0.56,0.54,0.55,0.01
69,0.05,0.01,0.20,0.00,0.001,1.0,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
70,0.03,0.01,0.03,0.00,0.01,0.1,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.1}",0.56,0.56,0.49,0.61,0.51,0.54,0.04,22,0.53,0.57,0.58,0.56,0.53,0.55,0.02
71,0.03,0.00,0.05,0.00,0.01,0.2,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.2}",0.60,0.57,0.52,0.58,0.59,0.57,0.03,7,0.59,0.60,0.56,0.58,0.61,0.59,0.02
72,0.04,0.00,0.06,0.00,0.01,0.3,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.3}",0.57,0.58,0.53,0.58,0.56,0.56,0.02,9,0.56,0.59,0.57,0.59,0.58,0.58,0.01
73,0.04,0.00,0.08,0.00,0.01,0.4,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.4}",0.54,0.58,0.53,0.56,0.54,0.55,0.02,14,0.56,0.59,0.56,0.60,0.56,0.57,0.02
74,0.04,0.00,0.10,0.00,0.01,0.5,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.5}",0.57,0.59,0.53,0.55,0.56,0.56,0.02,10,0.55,0.58,0.56,0.59,0.57,0.57,0.01
75,0.05,0.00,0.12,0.01,0.01,0.6,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.6}",0.55,0.58,0.53,0.53,0.55,0.55,0.02,17,0.55,0.57,0.56,0.58,0.55,0.56,0.01
76,0.05,0.00,0.14,0.00,0.01,0.7,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.7}",0.55,0.58,0.52,0.51,0.56,0.54,0.02,18,0.55,0.56,0.55,0.58,0.55,0.55,0.01
77,0.05,0.00,0.15,0.00,0.01,0.8,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.8}",0.55,0.56,0.50,0.52,0.55,0.54,0.02,27,0.55,0.55,0.55,0.57,0.55,0.55,0.01
78,0.05,0.00,0.17,0.00,0.01,0.9,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 0.9}",0.55,0.57,0.49,0.51,0.56,0.54,0.03,26,0.55,0.55,0.55,0.57,0.55,0.56,0.01
79,0.05,0.00,0.19,0.01,0.01,1.0,"{'clf__svm_gamma': 0.01, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
80,0.03,0.00,0.04,0.00,0.1,0.1,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.1}",0.68,0.69,0.62,0.64,0.63,0.65,0.03,1,0.75,0.72,0.73,0.73,0.70,0.72,0.02
81,0.03,0.00,0.05,0.00,0.1,0.2,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.2}",0.67,0.69,0.59,0.68,0.62,0.65,0.04,2,0.73,0.71,0.72,0.73,0.70,0.72,0.01
82,0.04,0.01,0.08,0.01,0.1,0.3,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.3}",0.66,0.70,0.59,0.67,0.63,0.65,0.04,3,0.70,0.70,0.71,0.72,0.69,0.70,0.01
83,0.05,0.01,0.10,0.01,0.1,0.4,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.4}",0.65,0.67,0.58,0.65,0.63,0.64,0.03,4,0.68,0.67,0.69,0.69,0.68,0.68,0.01
84,0.05,0.01,0.10,0.00,0.1,0.5,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.5}",0.63,0.65,0.58,0.61,0.60,0.62,0.02,5,0.66,0.65,0.65,0.66,0.65,0.65,0.01
85,0.04,0.00,0.12,0.00,0.1,0.6,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.6}",0.62,0.63,0.54,0.60,0.58,0.59,0.03,6,0.63,0.63,0.63,0.64,0.64,0.63,0.00
86,0.05,0.00,0.14,0.00,0.1,0.7,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.7}",0.61,0.59,0.54,0.56,0.55,0.57,0.02,8,0.59,0.60,0.61,0.61,0.61,0.61,0.01
87,0.05,0.00,0.16,0.01,0.1,0.8,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.8}",0.59,0.57,0.52,0.53,0.52,0.55,0.03,16,0.58,0.58,0.59,0.60,0.57,0.58,0.01
88,0.05,0.00,0.18,0.00,0.1,0.9,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 0.9}",0.57,0.56,0.53,0.48,0.52,0.53,0.03,38,0.55,0.56,0.58,0.57,0.56,0.56,0.01
89,0.05,0.00,0.19,0.00,0.1,1.0,"{'clf__svm_gamma': 0.1, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
90,0.05,0.00,0.13,0.00,1.0,0.1,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.1}",0.51,0.55,0.60,0.59,0.55,0.56,0.03,11,0.96,0.97,0.95,0.97,0.96,0.96,0.01
91,0.05,0.00,0.13,0.00,1.0,0.2,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.2}",0.51,0.55,0.60,0.59,0.55,0.56,0.03,12,0.96,0.96,0.95,0.96,0.96,0.96,0.00
92,0.05,0.00,0.14,0.00,1.0,0.3,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.3}",0.49,0.54,0.59,0.59,0.54,0.55,0.04,13,0.94,0.95,0.94,0.95,0.95,0.95,0.00
93,0.05,0.00,0.14,0.01,1.0,0.4,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.4}",0.49,0.51,0.59,0.54,0.54,0.54,0.03,30,0.93,0.94,0.93,0.94,0.93,0.94,0.00
94,0.05,0.00,0.15,0.00,1.0,0.5,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.5}",0.49,0.50,0.55,0.51,0.50,0.51,0.02,47,0.90,0.91,0.90,0.91,0.90,0.90,0.00
95,0.05,0.00,0.15,0.00,1.0,0.6,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.6}",0.43,0.48,0.50,0.47,0.48,0.47,0.03,54,0.87,0.86,0.85,0.86,0.87,0.86,0.01
96,0.05,0.00,0.17,0.00,1.0,0.7,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.7}",0.40,0.42,0.48,0.41,0.41,0.42,0.03,61,0.77,0.78,0.79,0.78,0.80,0.78,0.01
97,0.05,0.00,0.18,0.01,1.0,0.8,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.8}",0.37,0.38,0.44,0.33,0.37,0.38,0.04,64,0.67,0.67,0.68,0.69,0.70,0.68,0.01
98,0.05,0.00,0.18,0.00,1.0,0.9,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.9}",0.31,0.30,0.33,0.27,0.33,0.31,0.02,73,0.53,0.56,0.55,0.58,0.56,0.55,0.02
99,0.05,0.00,0.19,0.01,1.0,1.0,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
100,0.06,0.00,0.19,0.01,10.0,0.1,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.1}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
101,0.06,0.00,0.18,0.00,10.0,0.2,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.2}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
102,0.06,0.00,0.19,0.00,10.0,0.3,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.3}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
103,0.06,0.00,0.19,0.01,10.0,0.4,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.4}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
104,0.06,0.00,0.19,0.01,10.0,0.5,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.5}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,91,0.93,0.93,0.97,0.93,0.93,0.94,0.02
105,0.06,0.00,0.19,0.00,10.0,0.6,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.6}",0.18,0.20,0.19,0.18,0.20,0.19,0.01,96,0.92,0.93,0.97,0.92,0.92,0.93,0.02
106,0.06,0.00,0.19,0.00,10.0,0.7,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.7}",0.18,0.20,0.19,0.18,0.20,0.19,0.01,96,0.91,0.91,0.96,0.91,0.91,0.92,0.02
107,0.06,0.00,0.20,0.00,10.0,0.8,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.8}",0.17,0.18,0.17,0.17,0.20,0.18,0.01,98,0.87,0.88,0.94,0.89,0.88,0.89,0.02
108,0.06,0.01,0.20,0.01,10.0,0.9,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.9}",0.14,0.17,0.17,0.15,0.18,0.16,0.01,99,0.76,0.82,0.85,0.81,0.80,0.81,0.03
109,0.05,0.00,0.20,0.00,10.0,1.0,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
110,0.09,0.00,0.27,0.00,100.0,0.1,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.1}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
111,0.09,0.00,0.27,0.00,100.0,0.2,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.2}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
112,0.09,0.00,0.27,0.00,100.0,0.3,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.3}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
113,0.09,0.00,0.28,0.02,100.0,0.4,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.4}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
114,0.08,0.00,0.27,0.00,100.0,0.5,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.5}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
115,0.09,0.00,0.27,0.01,100.0,0.6,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.6}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
116,0.09,0.00,0.27,0.00,100.0,0.7,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.7}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
117,0.09,0.00,0.27,0.00,100.0,0.8,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.8}",0.08,0.08,0.08,0.06,0.06,0.07,0.01,107,0.92,0.92,0.97,0.92,0.92,0.93,0.02
118,0.09,0.00,0.27,0.00,100.0,0.9,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.9}",0.07,0.06,0.07,0.06,0.04,0.06,0.01,108,0.91,0.92,0.97,0.92,0.92,0.93,0.02
119,0.08,0.00,0.27,0.00,100.0,1.0,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
120,0.09,0.00,0.28,0.01,1000.0,0.1,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.1}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
121,0.09,0.00,0.27,0.00,1000.0,0.2,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.2}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
122,0.09,0.00,0.28,0.00,1000.0,0.3,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.3}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
123,0.09,0.00,0.27,0.00,1000.0,0.4,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.4}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
124,0.09,0.00,0.28,0.00,1000.0,0.5,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.5}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
125,0.09,0.00,0.28,0.00,1000.0,0.6,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.6}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
126,0.09,0.00,0.27,0.00,1000.0,0.7,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.7}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
127,0.09,0.00,0.27,0.00,1000.0,0.8,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.8}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
128,0.09,0.00,0.28,0.01,1000.0,0.9,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.9}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
129,0.08,0.00,0.26,0.02,1000.0,1.0,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
